question_id,fixed_recall_5,fixed_recall_10,sentence_recall_5,sentence_recall_10,semantic_recall_5,semantic_recall_10
q001,0,0,0,0,0,1
q002,0,0,0,0,0,1
q003,0,1,0,1,1,1
q004,0,0,0,0,1,1
q005,1,1,1,1,1,1
q006,1,1,1,1,1,1
q007,0,0,0,0,1,1
q008,0,1,0,1,1,1
q009,0,0,0,0,1,1
q010,1,1,1,1,1,1
q011,0,1,0,1,0,1
q012,1,1,1,1,1,1
q013,1,1,1,1,1,1
q014,0,0,0,0,1,1
q015,1,1,1,1,1,1
q016,1,1,1,1,1,1
q017,1,1,1,1,1,1
q018,1,1,1,1,1,1
q019,1,1,1,1,1,1
q020,1,1,1,1,1,1
q021,1,1,1,1,1,1
q022,1,1,1,1,1,1
q023,1,1,1,1,1,1
q024,1,1,1,1,1,1
q025,1,1,1,1,1,1
